Ticker,Company,Sector,Industry,MarketCap,ROE,InsiderOwn,EarningsDate,Volume,Price,RS,Date,ATH,52W High,U/D,^IXIC Total,Total,Prev Total,No1,No4,No5,No6,SMA10,EMA8,EMA21,SMA50,SMA200,EMA8 Gap,SMA200 Gap,Volume SMA50,BuyFlg1,BuyFlg2,BuyFlg4,BuyingFlg
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3150.18B,1.47%,38.49%,Apr 25/a,"13,035,720",423.85,71.06,2024-06-07,433.6,433.6,1.063,7,7,7.0,1,1,1,1,422.1420043,420.70307253462033,416.8821125953278,415.51657108,380.26665758,0.75,11.46,19074874.0,0,1,1,0.0
AAPL,Apple Inc,Technology,Consumer Electronics,3019.13B,0.09%,147.25%,May 02/a,"52,934,041",196.89,59.78,2024-06-07,199.62,199.62,1.814,7,5,5.0,1,0,1,0,192.9419982,191.03361141402087,184.80330499012345,179.39401486000003,181.303727225,3.07,8.6,57877252.0,1,1,0,0.0
NVDA,NVIDIA Corp,Technology,Semiconductors,2973.64B,4.22%,115.66%,May 22/a,"40,217,182",1208.88,98.72,2024-06-07,125.59,125.59,1.206,7,7,7.0,1,1,1,1,115.1091002,109.21109867694578,98.63144665963856,93.76898022000002,65.79656406,10.69,83.73,451855120.0,1,1,1,0.0
GOOG,Alphabet Inc,Communication Services,Internet Content & Information,2174.39B,57.75%,29.76%,Apr 25/a,"14,419,747",175.95,85.33,2024-06-07,179.95,179.95,1.828,7,7,7.0,1,1,1,1,176.0190018,175.05427890351723,169.00960411483806,166.87760008,145.92269983999998,0.51,20.58,19579420.0,0,1,1,0.0
GOOGL,Alphabet Inc,Communication Services,Internet Content & Information,2155.98B,52.60%,29.76%,Apr 25/a,"18,005,999",174.46,85.2,2024-06-07,178.77,178.77,1.814,7,7,7.0,1,1,1,1,174.5459992,173.54404170888836,167.50529299824342,165.32979956,144.610100305,0.53,20.64,26913200.0,0,1,1,0.0
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,1917.94B,11.04%,20.30%,Apr 30/a,"26,477,217",184.30,80.11,2024-06-07,191.7,191.7,0.981,7,7,7.0,1,1,1,1,180.8940001,182.0768218295327,181.38222369047196,182.52660058,158.0508,1.22,16.61,39936486.0,1,0,1,0.0
META,Meta Platforms Inc,Communication Services,Internet Content & Information,1250.41B,13.78%,33.36%,Apr 24/a,"8,823,295",492.96,90.18,2024-06-07,531.49,531.49,0.906,7,7,7.0,1,1,1,1,480.2639953,478.5630733291716,476.03242858159945,480.66680172,396.48803771,3.01,24.33,15778312.0,1,0,1,0.0
BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,892.35B,39.44%,13.65%,May 06/b,"2,940,723",413.72,62.96,2024-06-07,430.0,430.0,1.254,7,6,6.0,1,1,1,0,409.7379975,410.30515813771257,408.36379383331695,408.79539972,379.45259951,0.83,9.03,3085722.0,1,1,0,0.0
LLY,Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,807.83B,10.56%,51.15%,Apr 30/b,"2,460,507",849.99,90.49,2024-06-07,856.81,856.81,1.159,7,7,7.0,1,1,1,1,824.5110047000001,812.9956078703025,786.1775095622467,774.2737073,664.9235263149999,4.55,27.83,2609056.0,1,1,1,0.0
AVGO,Broadcom Inc,Technology,Semiconductors,651.87B,2.04%,24.75%,Jun 12/a,"1,782,549",1406.64,90.69,2024-06-07,1445.4,1445.4,0.918,7,7,7.0,1,1,1,1,1377.7309937,1373.946885152386,1346.2783010612616,1336.43159666,1113.64657378,2.38,26.31,2387126.0,1,0,1,0.0
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,574.19B,0.38%,15.65%,Apr 12/b,"6,886,089",199.95,81.64,2024-06-07,205.88,205.88,0.973,7,7,7.0,1,1,1,1,199.5380022,198.7188432430875,195.77195707238428,195.1310288,169.07334426999998,0.62,18.26,9309662.0,1,0,1,0.0
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,566.02B,12.99%,24.28%,Apr 23/a,"55,886,147",177.48,17.08,2024-06-07,414.5,299.29,0.87,7,1,1.0,0,0,1,0,177.05299970000002,176.55935658969068,175.9913823889233,172.11119994,210.87919982,0.52,-15.84,90740076.0,1,0,0,0.0
V,Visa Inc,Financial,Credit Services,557.62B,21.55%,45.81%,Apr 23/a,"4,460,797",278.67,58.63,2024-06-07,290.96,290.96,1.261,7,6,6.0,1,1,1,0,273.1100005,274.57062746704366,274.829224991585,274.36592222,260.882880155,1.49,6.82,6977042.0,1,1,0,0.0
WMT,Walmart Inc,Consumer Defensive,Discount Stores,530.98B,46.15%,24.65%,May 16/b,"19,675,721",65.88,75.84,2024-06-07,67.57,67.57,1.315,7,7,7.0,1,1,1,1,65.852999,64.91517388619138,62.69151874979175,61.53230608,56.147163485,1.49,17.33,15972582.0,0,1,1,0.0
XOM,Exxon Mobil Corp.,Energy,Oil & Gas Integrated,505.79B,0.16%,16.24%,Apr 26/b,"13,269,972",112.75,52.83,2024-06-07,123.75,123.75,0.983,7,4,4.0,1,1,0,0,114.0119995,114.81907276062132,115.0893873310878,117.09212114,107.64403244,-1.8,4.74,18009292.0,1,0,0,0.0
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,451.62B,0.20%,18.29%,Apr 16/b,"3,208,604",490.69,38.81,2024-06-07,558.1,554.7,1.364,7,4,4.0,0,0,1,0,497.2249998,501.2744914600417,498.4083278396471,490.05519953999993,507.13767545,-2.11,-3.24,4229782.0,1,1,0,0.0
MA,Mastercard Incorporated,Financial,Credit Services,418.13B,10.97%,188.42%,May 01/b,"1,659,342",449.79,52.96,2024-06-07,490.0,490.0,0.935,7,5,5.0,1,1,0,0,446.0989991,449.5055363195891,454.2304080485693,457.82817934,432.34447358,0.06,4.04,2374316.0,1,0,0,0.0
PG,Procter & Gamble Co.,Consumer Defensive,Household & Personal Products,394.28B,0.06%,31.78%,Apr 19/b,"4,214,625",167.06,60.54,2024-06-07,168.97,168.97,1.331,7,6,6.0,1,1,1,0,165.0449983,165.60718853511676,163.63163180653098,162.162637,153.3960995,0.88,8.91,6225666.0,1,1,0,0.0
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,374.87B,0.23%,31.64%,May 30/a,"1,502,593",845.58,90.05,2024-06-07,850.38,850.38,1.225,7,7,7.0,1,1,1,1,821.9950075,811.1678730377262,778.9843146426782,758.2751025599999,657.8842181800001,4.24,28.53,1782468.0,0,1,1,0.0
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,353.97B,0.16%,23.91%,Apr 16/b,"5,042,109",147.08,30.08,2024-06-07,186.69,175.97,1.249,7,1,1.0,0,0,0,0,146.2750014,147.63538925078478,148.96600328264844,148.61925134,152.980983325,-0.38,-3.86,7774600.0,1,1,0,0.0
ORCL,Oracle Corp.,Technology,Software - Infrastructure,346.09B,41.92%,664.77%,Jun 11/a,"11,501,027",125.92,61.05,2024-06-07,132.77,132.77,1.295,7,6,6.0,1,1,1,0,121.6819992,121.65930442813652,120.38699051773474,120.21049906,113.708864385,3.5,10.74,6541590.0,0,1,0,0.0
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,330.96B,0.12%,5.29%,Apr 25/b,"4,415,397",130.67,71.69,2024-06-07,133.1,133.1,0.944,7,7,7.0,1,1,1,1,127.93200069999996,128.9224688640187,128.21754318116098,128.55660020000002,115.474348645,1.36,13.16,7221382.0,1,0,1,0.0
HD,"Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,324.29B,0.06%,1362.97%,May 14/b,"2,559,744",327.03,37.79,2024-06-07,420.61,396.87,0.557,7,3,3.0,0,0,0,0,328.16563740000004,331.0088115907825,337.4069377428372,338.7137359800001,331.15953598,-1.2,-1.25,3698716.0,1,0,0,0.0
BAC,Bank Of America Corp.,Financial,Banks - Diversified,311.09B,0.17%,8.72%,Apr 16/b,"25,904,446",39.78,82.91,2024-06-07,55.08,40.19,1.066,7,7,7.0,1,1,1,1,39.3210396,39.08581104352028,38.08099512358584,37.7647492,32.36673407,1.78,22.9,36503966.0,0,1,1,0.0
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,299.17B,0.10%,55.92%,Apr 26/b,"3,765,668",169.42,60.67,2024-06-07,182.89,182.89,0.943,7,6,6.0,1,1,1,0,161.04999979999997,162.6491222397037,163.85252095143716,164.47628352,156.94040901,4.16,7.95,5341372.0,0,0,0,0.0
